segment_id,node,description,parent,start_date,end_date,uda_channel,aggregation_consol,data_storage,allow_posting,allow_budgeting,enabled,summary,created_at
c25dd343-42bd-4a2a-8042-d9e67fbf625f,,Channel Segment 74,Parent-2,,,,,,,,,,14-03-2025 18:05
4cda31da-302d-4be8-b651-c32219135f13,,Channel Segment 199,Parent-72,,,,,,,,,,14-03-2025 18:05
06d1fe26-b12f-4928-a64f-6f371b1e967d,,Channel Segment 140,Parent-48,,,,,,,,,,14-03-2025 18:05
04dc822a-bf86-42f7-8167-7671c144579c,,Channel Segment 65,Parent-25,,0.0,,,,,,,,14-03-2025 18:05
7ecc36d6-3546-40a0-b5dd-0fda18fb263b,,Channel Segment 852,Parent-11,,,,,,,,,,14-03-2025 18:05
9420f547-4e54-4937-bf55-76d89b842da8,,Channel Segment 385,Parent-24,,,,,,,,,,14-03-2025 18:05
5da80026-f2b3-454d-92e8-8af18e8dcf6b,,Channel Segment 915,Parent-42,,,,,,,,,,14-03-2025 18:05
4fd168c5-67ff-4043-a079-46217bbc00e4,,Channel Segment 767,Parent-83,,,,,,,,,,14-03-2025 18:05
4a898da7-2f10-429c-88d1-6fdf81a0813f,,Channel Segment 306,Parent-16,,,,,,,,,,14-03-2025 18:05
dad0e7f4-c900-44ed-ac61-a524b75dd0af,,Channel Segment 61,Parent-7,,,,,,,,,,14-03-2025 18:05
2f13e630-f4bf-4d93-a0b0-dd0d8ed993ac,,Channel Segment 44,Parent-46,,,,,,,,,,14-03-2025 18:05
8568b2a5-6266-49f3-a20b-6c7253237261,,Channel Segment 424,Parent-30,,,,,,,,,,14-03-2025 18:05
8f58480b-559d-4755-9d83-6cc63c1d2c2f,,Channel Segment 119,Parent-25,,,,,,,,,,14-03-2025 18:05
10968610-d9f9-428a-abf1-e1adef695790,,Channel Segment 685,Parent-89,,,,,,,,,,14-03-2025 18:05
080c29f6-2be1-47c7-951a-c679b1641a78,,Channel Segment 201,Parent-39,,,,,,,,,,14-03-2025 18:05
91bbb5a1-403a-4041-8665-748e61f64b7c,,Channel Segment 542,Parent-53,,,,,,,,,,14-03-2025 18:05
ff2d0d8a-42cb-40ad-a34f-d9c90236ca14,,Channel Segment 971,Parent-35,,,,,,,,,,14-03-2025 18:05
b22d8709-69c9-44e7-8dab-55c149f75639,,Channel Segment 660,Parent-17,,,,,,,,,,14-03-2025 18:05
14727bbb-71d3-4b14-a863-dd60d73eb0aa,,Channel Segment 458,Parent-67,,,,,,,,,,14-03-2025 18:05
f2d33cb0-06cd-467b-87a5-4362bc87fe95,,Channel Segment 904,Parent-72,,,,,,,,,,14-03-2025 18:05
fabec240-95c5-41f9-b5dd-da82da2d59f4,,Channel Segment 838,Parent-1,,,,,,,,,,14-03-2025 18:05
c0b8216b-026e-48b9-be25-69a19bbef739,,Channel Segment 29,Parent-18,,,,,,,,,,14-03-2025 18:05
d111382d-be3d-440a-9ca1-d73331b37aac,,Channel Segment 433,Parent-19,,,,,,,,,,14-03-2025 18:05
d3aecc35-ae66-40ab-a603-803a042fd4d0,,Channel Segment 766,Parent-83,,,,,,,,,,14-03-2025 18:05
e27ebaf4-f211-4f26-b098-c4f59d9b2b15,,Channel Segment 136,Parent-31,,,,,,,,,,14-03-2025 18:05
f7c4bd47-d269-4710-a535-b1cf93236a8c,,Channel Segment 20,Parent-41,,,,,,,,,,14-03-2025 18:05
80572c9c-9437-4835-9636-c45bc8c7f073,,Channel Segment 20,Parent-25,,,,,,,,,,14-03-2025 18:05
0e522693-bba6-4cce-a37c-45dbd345c91b,,Channel Segment 987,Parent-40,,,,,,,,,,14-03-2025 18:05
40a0a0cf-3cde-42d5-9fd1-c6eddc600660,,Channel Segment 801,Parent-20,,,,,,,,,,14-03-2025 18:05
0f2eb1d2-a1fd-4cdb-9f4f-21fbc96db4b0,,Channel Segment 36,Parent-85,,,,,,,,,,14-03-2025 18:05
a227448d-95f4-4e9d-9d26-3092a62fdc3a,,Channel Segment 293,Parent-43,,,,,,,,,,14-03-2025 18:05
3b16e6d5-b63c-456b-8415-8b4e0da3540d,,Channel Segment 296,Parent-11,,,,,,,,,,14-03-2025 18:05
04a5b058-0229-4f96-87c8-4ee3bfb72f7f,,Channel Segment 339,Parent-17,,,,,,,,,,14-03-2025 18:05
da94221c-ce21-47b6-8651-0e99b7b9b28a,,Channel Segment 877,Parent-51,,,,,,,,,,14-03-2025 18:05
c6d40206-ebda-4c1a-aaf8-eb036b8399fb,,Channel Segment 56,Parent-11,,,,,,,,,,14-03-2025 18:05
e9b59361-1e1a-44c4-9f31-f625c0a5ea1f,,Channel Segment 126,Parent-31,,,,,,,,,,14-03-2025 18:05
20947fd3-807f-49c9-9c69-36753f908e5f,,Channel Segment 691,Parent-57,,,,,,,,,,14-03-2025 18:05
a8eeff6a-22ea-44e9-9e8c-465377c80166,,Channel Segment 9,Parent-1,,,,,,,,,,14-03-2025 18:05
b3ffd544-c19a-4051-91ea-5c351fc02ebc,,Channel Segment 519,Parent-94,,,,,,,,,,14-03-2025 18:05
faf8c716-5772-42a0-ab2f-4c1180f5e535,,Channel Segment 211,Parent-92,,,,,,,,,,14-03-2025 18:05
000178b3-0533-4284-9bf4-6e8858ee5335,,Channel Segment 35,Parent-29,,,,,,,,,,14-03-2025 18:05
a6b0111d-837b-4b55-b8e8-80e0e538fcb9,,Channel Segment 426,Parent-12,,,,,,,,,,14-03-2025 18:05
