segment_id,node,description,parent,created_at
69bc8be3-383b-47db-ab44-5e2f11ef5516,Node-97,Segment description 730,Parent-58,2025-03-14 17:55:32
a55a3875-3a31-498d-894d-255ecb682511,Node-938,Segment description 545,Parent-41,2025-03-14 17:55:32
6210bf48-1b62-4fa4-b708-aa2e6af964c0,Node-455,Segment description 491,Parent-83,2025-03-14 17:55:32
0755709f-35fd-4db7-aca1-1ff974c6eede,Node-215,Segment description 953,Parent-82,2025-03-14 17:55:32
37186d8d-a8e4-40ae-897c-157f484f4afc,Node-200,Segment description 847,Parent-83,2025-03-14 17:55:32
660a7786-2481-497f-9734-35df2c965255,Node-458,Segment description 891,Parent-50,2025-03-14 17:55:32
b94c38dc-33ae-4b54-8b31-ee0e30e7535b,Node-75,Segment description 972,Parent-73,2025-03-14 17:55:32
58b33dab-15c0-40d7-96f3-c63130fe736c,Node-749,Segment description 184,Parent-69,2025-03-14 17:55:32
29426714-54ea-45fa-a80a-2fc895c5035d,Node-675,Segment description 437,Parent-30,2025-03-14 17:55:32
63dd3894-5986-48ef-87f5-9709c59d4cab,Node-446,Segment description 99,Parent-94,2025-03-14 17:55:32
4d593eb4-9887-4a92-a6cd-cd75f0acc038,Node-820,Segment description 338,Parent-18,2025-03-14 17:55:32
e39c39dc-4436-4e40-b921-b4eb41a9d45a,Node-457,Segment description 444,Parent-9,2025-03-14 17:55:32
8005d7c7-9866-4f4a-8196-8431b9c645c9,Node-952,Segment description 955,Parent-16,2025-03-14 17:55:32
ccb5f6b3-d6ec-4ea8-a748-bea890c3b021,Node-670,Segment description 260,Parent-55,2025-03-14 17:55:32
4058576f-2643-4c25-8c85-f6ae4311e60c,Node-206,Segment description 355,Parent-77,2025-03-14 17:55:32
a9934bc1-9cf3-405d-bdb0-3602b441872f,Node-607,Segment description 655,Parent-95,2025-03-14 17:55:32
37bf5832-0165-4863-980e-a7bd3dd86401,Node-476,Segment description 106,Parent-70,2025-03-14 17:55:32
ee5ed830-0543-45b0-a827-c0f6db8889bd,Node-212,Segment description 254,Parent-55,2025-03-14 17:55:32
45bfcb33-1379-40b3-bc9e-91fb07fcf718,Node-298,Segment description 545,Parent-6,2025-03-14 17:55:32
3e90df70-23c6-4ddb-8947-e147431c518e,Node-71,Segment description 747,Parent-65,2025-03-14 17:55:32
5740899f-53f7-4dd0-8475-72745e5dc23e,Node-36,Segment description 132,Parent-41,2025-03-14 17:55:32
a8cefce7-6377-48d6-ba9e-bb5c35c36946,Node-873,Segment description 62,Parent-95,2025-03-14 17:55:32
bb029a58-1488-4419-8825-4767ccf2f887,Node-309,Segment description 830,Parent-33,2025-03-14 17:55:32
e63acf3b-1242-4c0a-8936-040d0c84e0c3,Node-594,Segment description 685,Parent-46,2025-03-14 17:55:32
3f17cfd4-581f-4aeb-bdda-d44e6ecacb86,Node-674,Segment description 669,Parent-52,2025-03-14 17:55:32
677e6c69-0b62-4557-a3e3-c2aa3dd7e40c,Node-397,Segment description 476,Parent-48,2025-03-14 17:55:32
68f26f24-e16d-46ad-b1eb-1dbb134d33d1,Node-8,Segment description 967,Parent-96,2025-03-14 17:55:32
6d8058a4-8b22-4bb1-8091-5ca11b275328,Node-663,Segment description 756,Parent-31,2025-03-14 17:55:32
cb5a3103-5d68-4c4a-8977-92034c5ffddf,Node-527,Segment description 916,Parent-1,2025-03-14 17:55:32
f83a5894-628f-458a-8e9e-d8c5dfe1fd5c,Node-12,Segment description 916,Parent-92,2025-03-14 17:55:32
4b169f68-3a08-47fe-a582-f949f2f16beb,Node-137,Segment description 832,Parent-12,2025-03-14 17:55:32
9abc74fc-be17-4b8d-800b-0ba73094941d,Node-919,Segment description 93,Parent-55,2025-03-14 17:55:32
31f8509d-4d48-4bc1-90d7-67f0786ad7c3,Node-356,Segment description 508,Parent-30,2025-03-14 17:55:32
c978db4f-1788-44e3-b95b-23b229dc9e3f,Node-19,Segment description 481,Parent-9,2025-03-14 17:55:32
a256a2b9-0aca-4d0e-bab4-b3550892af4c,Node-152,Segment description 900,Parent-28,2025-03-14 17:55:32
8d08b5c7-fc65-453a-bda3-dec08570e4a9,Node-241,Segment description 846,Parent-90,2025-03-14 17:55:32
7b63f1ab-1cd2-4114-9d89-1a1802a06fc1,Node-301,Segment description 375,Parent-73,2025-03-14 17:55:32
cef04112-c5f1-4169-ada8-d5c736c06a96,Node-965,Segment description 334,Parent-55,2025-03-14 17:55:32
736a1bb0-450d-43fd-b446-091b72803355,Node-176,Segment description 122,Parent-29,2025-03-14 17:55:32
2642d768-cf85-4ecd-9a63-e4feb1179ce3,Node-799,Segment description 730,Parent-48,2025-03-14 17:55:32
98462b77-a252-406d-9aea-4df07ab058f8,Node-77,Segment description 671,Parent-40,2025-03-14 17:55:32
20bf0097-fb5d-4d18-b6ff-202c5066fac5,Node-763,Segment description 789,Parent-40,2025-03-14 17:55:32
13aa01c4-74e2-4ae4-a489-983460243d85,Node-224,Segment description 964,Parent-55,2025-03-14 17:55:32
de357f01-94eb-4371-8e2e-2e0440e42a79,Node-929,Segment description 102,Parent-83,2025-03-14 17:55:32
1cccf574-ec9c-481f-9c9f-dac1ce42acf1,Node-910,Segment description 477,Parent-94,2025-03-14 17:55:32
0376db3f-3838-43a6-9c0a-0d69639e7b2d,Node-373,Segment description 201,Parent-93,2025-03-14 17:55:32
f015f425-fb5f-44d3-8bab-b186b566d62a,Node-350,Segment description 960,Parent-85,2025-03-14 17:55:32
7900b8ed-930c-450a-9759-e261a759cb96,Node-538,Segment description 466,Parent-45,2025-03-14 17:55:32
ab3b2c60-8089-44d2-86bc-ba4113c84d4d,Node-86,Segment description 305,Parent-59,2025-03-14 17:55:32
0056a568-86aa-4be4-ae2f-06b60d9ef216,Node-769,Segment description 147,Parent-21,2025-03-14 17:55:32
f07750f6-2e8d-4ca7-a1ac-56a474a9553f,Node-166,Segment description 352,Parent-31,2025-03-14 17:55:32
7dac1699-e5b2-4da6-8111-e851a36e4a66,Node-965,Segment description 898,Parent-32,2025-03-14 17:55:32
ed5428f2-1397-491d-a8f1-a08c7687e7ba,Node-834,Segment description 572,Parent-61,2025-03-14 17:55:32
27fbcf19-5693-4581-ad5f-5bbe20f0bc58,Node-738,Segment description 901,Parent-9,2025-03-14 17:55:32
842a2a37-5a23-4fb1-b97b-43ca1721d8b9,Node-505,Segment description 515,Parent-20,2025-03-14 17:55:32
2edd5a03-26b6-44c5-8289-68be2dfb246b,Node-695,Segment description 139,Parent-41,2025-03-14 17:55:32
baa75664-1cbc-458c-8385-1feb2d4c4bc0,Node-425,Segment description 119,Parent-26,2025-03-14 17:55:32
2e9cfe17-8402-4fde-aed3-0e997deec39b,Node-864,Segment description 355,Parent-99,2025-03-14 17:55:32
31b047dc-4df4-4f13-8ba9-213caacc4ace,Node-702,Segment description 606,Parent-82,2025-03-14 17:55:32
6e92766b-68d6-4d4b-8b3a-ef7b21c76768,Node-424,Segment description 372,Parent-52,2025-03-14 17:55:32
f8887120-5d4d-4a46-a00d-86be33d084aa,Node-950,Segment description 258,Parent-83,2025-03-14 17:55:32
0188e4a4-c2bc-4f04-bf86-4d3672626405,Node-267,Segment description 385,Parent-75,2025-03-14 17:55:32
59f2fe2e-d613-46ae-ab89-b5285a6bb607,Node-752,Segment description 491,Parent-35,2025-03-14 17:55:32
149a51dc-39e6-490d-98e2-58fdcb7e59ec,Node-967,Segment description 751,Parent-36,2025-03-14 17:55:32
b3652630-6d45-44b0-9a06-98fd3ee6b22e,Node-430,Segment description 870,Parent-33,2025-03-14 17:55:32
e44ee3d2-7280-4386-bdb0-66bab6de263e,Node-100,Segment description 4,Parent-76,2025-03-14 17:55:32
f0ac4fdf-6120-4312-9ef0-7c1852e4b35c,Node-938,Segment description 454,Parent-30,2025-03-14 17:55:32
fbe4720d-c4dc-408e-a510-fafb286edaaf,Node-262,Segment description 886,Parent-6,2025-03-14 17:55:32
7341af84-7598-4e55-a0c6-132cff12ef23,Node-413,Segment description 881,Parent-82,2025-03-14 17:55:32
