INVESTMENT_ID,CUSTOMER_ID,ASSET_CLASS,INVESTMENT_AMOUNT,CURRENT_VALUE,INVESTMENT_DATE,UPDATED_AT
0578985e-e957-4925-9cfb-63bff5234c5b,c741e587-7415-4926-b56f-f055936a4cd8,Mutual Fund,48096.2,144131.32,2015-07-18,2025-03-15 13:16:53
ff069997-a64f-49c3-9518-fb0611c7aa62,a26d623c-b31f-4942-aee5-407d8a6d97c1,Mutual Fund,59543.25,132679.95,2022-04-09,2025-03-15 13:16:53
36434b72-2e8b-4bc6-9d10-3bebd01fca49,c0354e20-be84-4d8b-a5ff-c8a824a74f07,Crypto,6001.29,13573.64,2018-10-20,2025-03-15 13:16:53
e4e24fa4-e677-4a57-b5a6-e21910e5f2a3,043efd75-ddd5-4787-9528-4c6e2ae47477,ETF,10226.36,66402.14,2018-03-07,2025-03-15 13:16:53
83b8c77a-df04-40de-8f69-96aeb0457957,0d4fe195-42fb-402a-921b-fd8d69d26f69,Stock,17828.27,47318.94,2018-02-05,2025-03-15 13:16:53
616dd3a3-01cd-4671-8c05-44cf63dcc3ca,07a0a53d-a652-4894-9bf3-463500ea1405,Real Estate,77208.43,24250.36,2017-06-09,2025-03-15 13:16:53
85b77f20-48a1-46f7-a1ac-76820906f272,cff11495-73f1-4454-a26b-1b3232c3c5c5,Mutual Fund,5342.75,50460.52,2022-05-30,2025-03-15 13:16:53
bd78d5db-53d5-4cba-9614-1433729dafec,9f3145d9-6ce2-4a4a-95cf-97e8e9c2d746,Bond,44839.32,44665.41,2021-01-03,2025-03-15 13:16:53
49b34c83-c217-4afe-924f-8fd1e3964fc7,5c31910a-cffa-4f6d-a801-5a672af8e3b5,ETF,59332.1,51959.21,2015-06-06,2025-03-15 13:16:53
6283b5bd-d659-4193-bd14-b97b64b52cb5,5efe7a21-8489-44fb-b33c-b23a678225bc,Stock,10260.99,68698.64,2019-03-10,2025-03-15 13:16:53
b06f9799-ff96-4be2-b026-bda609418c61,09272adf-7705-4c99-aaed-f6b0d34c2dac,Stock,69927.02,71093.55,2022-09-26,2025-03-15 13:16:53
42af41ba-5a4c-4ab7-926a-d625efec7519,427fa704-e0fd-429c-b055-a6f69ec46ce2,Real Estate,45806.92,143309.0,2019-12-05,2025-03-15 13:16:53
