loan_id,customer_id,loan_type,principal_amount,interest_rate,start_date,end_date,status
03bc8b10-4a5c-4c16-b40f-7488a8d90f56,138e12de-705e-49f4-be62-fa3fc71493b9,Auto,24668.21,8.05,06-10-2019,17-02-2025,Active
e54993a3-aa4c-45c5-b594-0fad6ef4978f,73ce07b9-98e8-4423-8040-bb680236261c,Home,82217.86,12.35,07-05-2023,10-02-2026,Defaulted
dda8ba50-4e92-4ddc-8cb2-1c16fea1cc21,932e6c55-8140-4d97-a08e-8a400e859a56,Home,19204.05,6.9,19-09-2017,14-08-2026,Closed
9d126abc-965d-4c0a-b089-6f0e74276f35,6bd8c1fb-3793-4235-8205-b84e08fbe626,Auto,38919.19,4.19,26-09-2020,05-07-2034,Defaulted
0a180b16-2ab1-4074-a560-2a18afdd9eba,04320a8a-22e1-4ad0-b3ec-ca0b164bd1fd,Auto,22779.01,11.26,26-11-2021,15-07-2032,Defaulted
ac25ebc5-f2e0-4523-9e7c-f2b4588139cf,40c47fe0-8fec-427d-a875-b92ae15d5525,Personal,52825.7,4.63,27-04-2017,18-07-2031,Closed
27d3701f-7811-46b1-b541-b392ad4b9b0c,95546576-1fa3-459d-9717-d16ca71ec6c4,Home,94921.49,3.66,14-07-2022,06-05-2027,Closed
b3efee2d-53ce-4b8b-981d-53756ffabdba,0d19636a-c9dd-439e-be5d-ddac65d3d332,Business,37648.41,7.39,06-11-2020,15-11-2039,Defaulted
f9b90b23-b3a1-4dea-95ce-18cb56f429fc,1f8282ad-7bdd-4412-830e-4516fc11cc1f,Auto,91940.79,4.68,12-12-2023,28-09-2030,Active
1e365d30-7223-4ba3-b2e6-fcc125df8fa3,d3212f2b-2309-4d68-ae6c-f73184ae0582,Home,35462.66,2.7,11-10-2015,06-02-2037,Active
276135e1-73be-4f7a-9dea-00dc9eb28cd5,9ad852ea-b5e6-4485-acff-c4e3b86c81c1,Personal,15461.63,11.13,27-02-2021,11-06-2039,Defaulted
dcba561f-1896-4073-b8ef-76eb5d5d6604,3e449737-883e-4915-864c-80b515319db2,Auto,27934.07,4.63,17-07-2017,18-10-2034,Closed
30dcdfa0-dcf3-40fd-bef9-e97fed269280,ed482fe4-fa62-4e94-8e83-8f8ed782cd9e,Home,92166.55,9.57,23-07-2022,29-04-2030,Defaulted
7c97ba02-e49d-4b0d-9095-996041698a23,61d7fb78-f605-47f0-8386-86f73dce9429,Home,41065.02,4.08,03-07-2018,29-05-2039,Defaulted
e7635167-1176-41c2-a577-69e219696643,7381beb3-90c4-42af-82c8-49eda890fd95,Business,7578.89,10.96,16-06-2019,25-04-2029,Defaulted
9dbafda9-a6c0-419f-965c-94227b011447,61af532d-2416-4bd2-ac6b-041aef362385,Auto,21365.14,9.66,29-09-2017,02-12-2027,Closed
dd02e794-dbb9-44d2-b144-524256c87715,57775a79-070c-4e4c-9f4a-cc5b19490bb3,Auto,49036.37,1.77,23-09-2020,02-07-2032,Active
41c6c1ea-e8ac-437c-9be5-5c7e906ede1d,3ff0b4ee-9381-49c8-ba23-c3654e23b4e6,Personal,81386.04,3.98,25-08-2020,30-08-2034,Closed
a9f0af67-ce5e-4c06-9ac0-119de3ee69a1,8e15a24c-a942-4cfe-9e10-9074378f7747,Home,52401.54,8.89,12-03-2015,26-01-2034,Closed
4125f616-352f-488e-ac47-4c223967b368,5dd78798-6d3a-45bf-92ce-46bb1149f2af,Auto,32965.58,4.15,05-09-2020,27-05-2029,Defaulted
5c880fca-559c-48f4-a478-f18b529aab15,7eca9e2a-2a45-49d0-bb3f-df66f8118dd4,Business,43652.69,11.72,01-08-2018,21-05-2039,Defaulted
1a0395ef-d1ee-4bb9-964f-93be98541dff,3d181ee2-6b50-4380-ba70-f39ba2b8f698,Auto,32367.97,7.41,19-04-2017,06-10-2028,Closed
c9d28582-c318-4c4e-8570-0a4ed3d71222,60c992a9-21af-4735-8606-659dc8c7e4e2,Personal,45348.59,11.2,27-02-2021,29-11-2034,Defaulted
1827ed41-322b-4673-bb78-6c0f6b9fca5e,c3734778-abbb-4ac8-8387-001acaf4453d,Personal,28476.06,4.51,26-07-2020,06-04-2039,Closed
a7da4a56-df01-4455-a3f5-60e1cb92a4b3,37ea8f4f-ade0-425b-b23c-abb479b76def,Business,6162.39,4.67,06-11-2015,22-09-2032,Closed
ea033438-10a7-407f-a979-e2d48efa3238,a0ffafbf-98d3-4441-add9-0bc8f6fbe160,Personal,24673.41,7.99,28-02-2016,27-10-2036,Closed
7685647e-d696-4964-892f-5920133c289b,4edb1e60-8441-4565-9fda-595ca819af73,Home,31217.24,4.48,27-10-2016,29-10-2037,Active
d7b1219e-0f6d-4d51-8763-76b278df91c3,e1343c75-4754-46a8-8f70-09ed36acfdbe,Auto,71547.29,5.55,25-08-2016,10-05-2038,Active
4b02c101-def0-42dc-8354-e6cd611db412,3d57369e-bcb5-490f-a75a-8b2cf17ca372,Personal,44438.64,7.93,22-04-2016,19-07-2032,Active
107b9963-279f-4c16-b8c5-dc09fcb4cb54,589e16a2-9c04-4f0e-b5c4-77d7ba8b0904,Auto,30799.2,2.56,06-02-2015,25-01-2029,Defaulted
7f551f8a-b91a-4579-a186-f94b62b83c8e,d67b9bd3-c1bf-4843-b350-30468c3420ff,Business,32045.09,4.47,08-10-2021,17-06-2025,Closed
8c208ee0-f3db-42fa-8719-e48128da46dd,00d69dd5-d725-43c3-a584-f88141853131,Business,41885.63,1.87,25-05-2020,14-08-2027,Defaulted
dd9010d6-3cea-4acd-bf77-89def758ac97,61a99430-98c7-4c2e-be04-b5ad2a5cb00c,Business,96355.44,10.57,20-12-2017,03-04-2037,Closed
c6254161-c09e-4de8-9d2a-d89395411dae,517a3755-e6aa-495d-ab61-db6484b23041,Business,17862.1,4.17,11-11-2021,19-01-2029,Defaulted
9c95c2db-0da8-4f2d-bbfa-6fd85e698d2d,ce482ecc-cf62-4d11-8a32-75c0bb654c23,Business,53143.64,3.81,21-07-2023,08-01-2031,Active
e635658f-7c17-4544-8a09-4c4bd66f43ed,b53375c9-4cca-478e-9fb8-b4ef5fac6995,Auto,96247.77,9.05,10-04-2020,14-09-2039,Closed
f05b627d-cde6-4f12-afc7-e000f17a0401,2029814d-eda0-46cf-a7f3-93a9de04d8cc,Auto,82536.67,10.66,23-04-2020,22-09-2029,Closed
af469dfd-6907-418f-9280-d7e9320169fd,782da7b2-f95d-451f-b8fd-d1e8c483e2d0,Home,69686.6,8.43,23-09-2023,10-07-2038,Active
a6e2065e-5d49-4072-beff-b2218f46a7f6,0ae38bef-3b8e-4630-98c5-e18ff091ccd8,Auto,32485.59,5.69,21-04-2016,15-02-2034,Active
55816b71-2ee8-42ae-aebe-a019d3c8bbd5,4f904857-4bb1-4ce3-bfdc-77d43abb304b,Personal,38646.79,3.36,27-12-2019,20-01-2030,Defaulted
76b22705-4788-4760-a639-3ca18023633b,f1afa160-9a9d-44bd-966c-c6f4b1491e78,Business,33102.95,10.2,26-07-2017,28-11-2034,Closed
a3c12792-f2b2-4550-a39a-09debed94c08,f886ce11-6f8e-4bc5-85db-641b5942373a,Home,51798.58,5,22-08-2023,20-12-2030,Closed
f0a489a7-c2f5-474d-ba8f-4bb92f7fe30d,6c5bb277-8d53-44be-8245-a603451329ee,Business,43525.99,10.99,17-12-2015,13-05-2030,Defaulted
c1a0d95b-b8af-457c-8e18-9092ab6d707a,51e5b026-bef0-4d82-bfa2-75ce8911a9cb,Auto,83427.14,6.81,17-01-2015,01-12-2028,Defaulted
80df7c04-c0dd-48ef-afb2-e16b0c1d3ad4,35890b74-ca1e-4ac7-8d29-aed7f817c006,Business,91525.5,11.26,13-02-2018,25-07-2028,Defaulted
d99579df-d541-4872-8e7c-4b2405432496,527c2195-923e-4466-8168-6a249c400082,Home,30869.22,5.38,24-09-2017,19-11-2028,Defaulted
acd06f95-1599-4576-b61c-74b7cfd9021b,d35414c2-1b15-46c6-b73c-bbc1a8701007,Personal,39299.98,8.92,14-09-2016,26-11-2030,Active
81420de7-03f0-4d8e-a8c5-f5c5dcf2433f,e0be3d7b-a676-470e-9a3b-ad6a2446b233,Auto,82160.39,4.25,06-05-2020,18-08-2030,Active
85fae4c1-dfcd-44ee-a264-94d0223c9259,32872afd-cd81-4f98-931e-620790c6ad41,Business,16748.47,5.69,27-04-2021,26-01-2027,Defaulted
d8baf77c-c772-4de1-9e3c-71acaeef6713,7373f491-d431-48f8-ad13-1d4846232383,Auto,86321.33,3.91,01-10-2021,01-09-2028,Active
d7f5d971-e283-41c9-ad19-3cdcfdc63c69,4c4ecf12-577c-4862-a8aa-1ff7b4746519,Business,99377.52,8.26,03-06-2016,24-12-2037,Active
939986e0-0f32-4d8c-97d4-f708099eaecd,e884820f-1c65-4539-97db-6bbded0431b0,Auto,11719.05,5.22,28-11-2022,04-08-2038,Active
daaa8eff-ecbd-49be-a29b-d5d67e61bb27,4e609b5d-27b7-46a8-8711-933d697f6c5a,Home,46099.71,4.63,25-03-2020,09-08-2030,Defaulted
cb2ea8b6-6272-4b86-964d-226136d9e8f3,6e7a27a8-856a-46a5-be31-ee4bdac58313,Home,8969.3,5.42,06-12-2021,21-11-2032,Defaulted
2667898a-7a81-47e0-a77b-c9eb40c37b91,b4d607d7-6918-4b14-930a-fc2bd511760e,Business,16621.62,2,23-01-2019,20-12-2026,Closed
f4417600-2de9-4fb6-b12d-b2c947233775,ab94c41e-f398-43df-829c-45be08c9a152,Business,82892.89,9.28,09-07-2016,21-04-2033,Defaulted
9b1f4d81-8f99-4f3f-be4a-e90fb2fc4232,1f23f843-fcae-4c1a-9761-b3d2bb2ab13b,Business,25781.98,8.18,03-06-2022,13-01-2033,Defaulted
ec883522-c05c-443b-b815-97134e360d4c,bae36468-7781-4549-aeb8-0655c801010c,Personal,75747.48,2.24,17-07-2018,07-03-2036,Closed
f7a2ae2b-05b3-457b-8431-90a20d1c9f5b,32331087-fca0-4738-9a33-dbf9d8c15a72,Personal,50276.32,9.33,14-11-2015,11-05-2025,Defaulted
281e00b6-9f8a-4dc8-b191-9cbaf51be5c4,8e4ee17a-8a96-41d0-bf86-82f2579b770e,Auto,66864.25,11.5,11-04-2022,04-01-2036,Active
71d95386-2f64-4086-ac06-174241f7d67f,03c0d53d-b6ff-4d8c-905a-2bd0f667f0b8,Home,89642.41,8.87,20-03-2016,19-04-2025,Active
f0ab1564-5f51-4963-8c52-053bdc05b385,fec16842-7937-4c97-8002-250cc263fe22,Business,69538.22,9.13,28-09-2015,15-05-2027,Active
f9561bcc-1dd9-40b4-9570-da83aea0e328,069d9f8f-ab88-420d-8d90-6e1e5af31fca,Home,21165.72,6.09,25-01-2017,21-01-2028,Defaulted
c85511cd-68bb-4bf7-b29f-21e9f20b6a60,a70b164d-b560-441a-916a-96e4f51b80ff,Home,38794.3,12.12,14-04-2019,06-08-2036,Active
97d62ce1-4993-4904-b8b3-22f3c32be868,885cfa77-0515-4068-850d-c39f580db763,Auto,37166.74,2.92,20-02-2017,15-06-2029,Closed
6d9ce156-d572-47b1-8233-28daf48b895b,6f59a97b-75f7-4159-960d-a44ce0cc408e,Personal,82524.36,12.07,20-06-2015,23-03-2033,Defaulted
bd9b38a0-4382-4993-88c2-ddcba01bcdb3,498551a3-bfe4-4ee0-b5b6-943d5fb23dbd,Business,42021.08,8.67,07-04-2021,28-10-2031,Defaulted
cd0c7927-af03-4f59-9c27-35abf786ac1f,dd0c4daa-157e-4694-80b4-437442892fa9,Personal,37497.03,7.17,13-08-2019,22-07-2034,Defaulted
fb6ae39f-0f9d-45db-8494-787974074707,913792da-1001-4f19-9fa7-2e969750db6c,Business,26184.58,8.38,24-10-2018,12-01-2037,Active
5728157c-6f7f-4786-8875-24e2ddaa7af6,8f446fe5-d9b1-4155-b2bf-220eaa6e5fa0,Business,98042.49,5.57,23-07-2022,29-06-2036,Defaulted
9638dd96-815b-4aaf-9f38-defa29742922,1e89d5ba-5884-4112-ba21-1b3e3f306335,Personal,91406.91,9.5,12-01-2018,30-12-2031,Defaulted
d2052ed1-b00a-48a5-b818-23972f71f0c0,8f0239ff-ba04-4fff-b8d6-008aa25814c3,Home,54421.06,6.04,31-03-2023,03-05-2037,Active
1e54aab9-ddc3-4c50-afbf-2108e1bce987,ca1116ae-5955-4096-9dcf-dadb6d0d2d1f,Auto,14975.68,5.7,02-02-2018,19-07-2031,Defaulted
c5a5ebf4-b8b0-4272-a5b7-4aa0cf93ed29,2551c3d4-80b3-4a5b-bb3a-9c67a0476167,Home,24476.22,10.02,31-10-2018,19-11-2037,Active
587c59cd-8742-472a-acfc-88e93035ab57,2f409eec-5ce4-45d8-aa7f-4c33066f1aed,Home,22980.46,2.53,10-05-2018,06-04-2027,Defaulted
c7fa90f6-e53a-45b6-802a-10065c13140c,b088351d-00db-4e34-90c7-5865a428e211,Home,14401.57,3.56,28-02-2016,17-10-2025,Active
ee0ca605-7fab-4e06-a5c7-90b752072221,7ae84514-711a-4553-9022-ba778f5114ba,Personal,40586.77,10.21,28-11-2017,16-11-2039,Closed
709e9ca2-7cbc-4d69-b9e1-53baca465327,146f5f15-8572-461c-a1f7-9fd407c138c2,Home,35515.1,9.17,03-09-2020,26-06-2029,Defaulted
4db76c7b-6f46-4594-9732-10c043119416,cc668b5d-fd6e-4a25-b55c-045026319a83,Auto,68955.27,3.87,09-02-2017,23-12-2036,Closed
ffb32454-6357-4cb5-b0e1-1803eddb3f6b,1ccbd04a-0f7d-4806-990b-ad3b93ae7df5,Home,13248.5,8.23,31-10-2022,29-07-2027,Closed
ae7db153-2948-4c3f-b058-2d67a7c9f37a,f234dd48-0857-4770-832f-28a773152cee,Business,47624.59,6.37,30-01-2020,01-11-2029,Closed
73d7b135-eafa-45bf-a2e8-ee36567a5382,4609aff3-66cb-44e5-afd6-4c30f6a02855,Business,26380.9,10.35,14-01-2021,25-09-2032,Active
ef92dbad-bb54-4057-bcd6-6e8bacdd8276,d58454a3-fd1d-4f6f-978b-efb7f52533d1,Business,65784.31,12.15,20-11-2021,17-01-2026,Active
01ee050d-a826-4ad4-9d02-fc1b96bac2c4,d2aefe13-82fc-4a23-8dc4-15c39330aac8,Auto,54800.87,4.84,25-09-2019,23-05-2029,Closed
234e1550-9076-426e-8bdc-631026b5af94,1734f230-fce1-485a-9cc0-787bb63df3d3,Business,71327.5,11.59,21-03-2022,04-10-2033,Closed
807eeafa-9d20-40c6-a36b-fc2ec044a3cf,5a8ed262-36f5-4455-a1af-e89bb2c4eab7,Personal,32846.52,5.85,04-03-2015,11-03-2039,Closed
673c0efe-ba45-4261-97db-7fa1de3060ce,55c351f1-66eb-462c-a1b7-a5e3eed2a95c,Auto,57704.05,10.44,09-06-2023,07-05-2039,Defaulted
0006e1b4-e023-49e5-bc08-ba94774063df,7f183fd9-d931-4ec1-a2aa-c01f467f3fd8,Auto,94256.27,12.37,02-03-2020,15-05-2030,Active
b359bd1d-705c-49f4-89b1-41687e965526,568a6308-f434-4bbf-a99d-ea3f35ecf1a1,Business,27882.86,7.13,23-04-2023,14-12-2032,Closed
2d446705-c0a4-4400-990f-f6c1ff4ba969,6fbbb8f1-b94b-4ad4-a955-c0c4061b3ac0,Personal,72037.68,4.31,04-09-2016,06-03-2026,Defaulted
13b20de4-14f7-49e8-b931-5482b4b0f7af,0c4ed834-7ae3-49d5-96b1-88670f805e91,Home,9387.01,11.94,11-06-2018,30-11-2036,Active
7cfbdeb9-a63a-43b7-bda9-04f5289c7c49,0a57ea2f-8c33-4bea-87b1-2030da995a9e,Personal,71625.52,4.51,18-12-2016,15-10-2033,Closed
89906a31-13c2-4848-af8e-4f44d252c032,e0defe56-5133-47e3-b7f7-529b693fa3c1,Personal,27717.58,8.81,18-09-2022,02-05-2036,Defaulted
6d89770e-76ea-4e95-994c-8b6135822b9e,1c753856-1605-4919-8695-49fb113ff5e1,Personal,91313.73,1.54,11-05-2018,13-02-2034,Active
