payroll_id,employee_id,pay_date,salary_amount,tax_deduction,net_salary,created_at
EMP00001,EMP00001,2024-01-01,5000,1000.0,4000.0,2025-03-15 12:32:53.966100
EMP00002,EMP00002,2024-01-02,5000,1000.0,4000.0,2025-03-15 12:32:53.966100
EMP00003,EMP00003,2024-01-03,5000,1000.0,4000.0,2025-03-15 12:32:53.966100
EMP00004,EMP00004,2024-01-04,5000,1000.0,4000.0,2025-03-15 12:32:53.966100
EMP00005,EMP00005,2024-01-05,5000,1000.0,4000.0,2025-03-15 12:32:53.966100
EMP00006,EMP00006,2024-01-06,5000,1000.0,4000.0,2025-03-15 12:32:53.966100
EMP00007,EMP00007,2024-01-07,5000,1000.0,4000.0,2025-03-15 12:32:53.966100
EMP00008,EMP00008,2024-01-08,5000,1000.0,4000.0,2025-03-15 12:32:53.966100
EMP00009,EMP00009,2024-01-09,5000,1000.0,4000.0,2025-03-15 12:32:53.966100
EMP00010,EMP00010,2024-01-10,5000,1000.0,4000.0,2025-03-15 12:32:53.966100
EMP00011,EMP00011,2024-01-11,5000,1000.0,4000.0,2025-03-15 12:32:53.966100
EMP00012,EMP00012,2024-01-12,5000,1000.0,4000.0,2025-03-15 12:32:53.966100
EMP00013,EMP00013,2024-01-13,5000,1000.0,4000.0,2025-03-15 12:32:53.966100
EMP00014,EMP00014,2024-01-14,5000,1000.0,4000.0,2025-03-15 12:32:53.966100
EMP00015,EMP00015,2024-01-15,5000,1000.0,4000.0,2025-03-15 12:32:53.966100
EMP00016,EMP00016,2024-01-16,5000,1000.0,4000.0,2025-03-15 12:32:53.966100
EMP00017,EMP00017,2024-01-17,5000,1000.0,4000.0,2025-03-15 12:32:53.966100
EMP00018,EMP00018,2024-01-18,5000,1000.0,4000.0,2025-03-15 12:32:53.966100
EMP00019,EMP00019,2024-01-19,5000,1000.0,4000.0,2025-03-15 12:32:53.966100
EMP00020,EMP00020,2024-01-20,5000,1000.0,4000.0,2025-03-15 12:32:53.966100
EMP00021,EMP00021,2024-01-21,5000,1000.0,4000.0,2025-03-15 12:32:53.966100
EMP00022,EMP00022,2024-01-22,5000,1000.0,4000.0,2025-03-15 12:32:53.966100
